raw_term,suggested_id,label,score
Financial assets at fair value through profit or loss (exclude equity securities),ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,Financial assets at fair value through profit or loss,79.1
Financial investments at amortised cost,ifrs-full_FinancialLiabilitiesAtAmortisedCost,Financial liabilities at amortised cost,82.05
Forward assets purchase,ifrs-full_PurchaseOfMiningAssets,Purchase of mining assets,70.83
Cash and balances with banks,ifrs-full_BalancesWithBanks,Balances with banks,80.85
Property and equipment,ifrs-full_PropertyPlantAndEquipment,"Property, plant and equipment",86.27
Financing and advances,ifrs-full_LoansAndAdvances,Loans and advances,75.0
Financial investments at fair value through other comprehensive income (exclude equity securities),ifrs-full_InterestRevenueForFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,Interest revenue for financial assets measured at fair value through other comprehensive income,75.65
Total maximum exposure,ifrs-full_MaximumExposureToCreditRisk,Maximum exposure to credit risk,71.7
Total Derivative financial instruments,ifrs-full_TradingIncomeExpenseOnDerivativeFinancialInstruments,Trading income (expense) on derivative financial instruments,73.47
Financial investments at fair value through profit or loss,ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss,Financial liabilities at fair value through profit or loss,87.93
Remaining performance obligations (more than 3 years),ifrs-full_TransactionPriceAllocatedToRemainingPerformanceObligations,Transaction price allocated to remaining performance obligations,70.09
Collective investments,ifrs-full_CurrentInvestments,Current investments,73.17
Provision for tax expense,ifrs-full_ProfessionalFeesExpense,Professional fees expense,72.0
Financial investments at fair value through other comprehensive income,ifrs-full_FinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,Financial assets measured at fair value through other comprehensive income,86.11
"Loans, advances and financing",ifrs-full_LoansAndAdvances,Loans and advances,76.6
Intangible assets,ifrs-full_OtherIntangibleAssets,Other intangible assets,85.0
Remaining performance obligations (1 year to 3 years),ifrs-full_TransactionPriceAllocatedToRemainingPerformanceObligations,Transaction price allocated to remaining performance obligations,70.09
Statutory deposits with Central Banks,ifrs-full_MandatoryReserveDepositsAtCentralBanks,Mandatory reserve deposits at central banks,72.5
Investment properties,ifrs-full_InvestmentProperty,Investment property,90.0
Remaining performance obligations (1 year to 3 years),ifrs-full_TransactionPriceAllocatedToRemainingPerformanceObligations,Transaction price allocated to remaining performance obligations,70.09
Statutory deposits with Central Banks,ifrs-full_MandatoryReserveDepositsAtCentralBanks,Mandatory reserve deposits at central banks,72.5
Investment properties,ifrs-full_InvestmentProperty,Investment property,90.0
Financial assets at fair value through profit or loss (exclude equity securities),ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,Financial assets at fair value through profit or loss,79.1
Financial investments at amortised cost,ifrs-full_FinancialLiabilitiesAtAmortisedCost,Financial liabilities at amortised cost,82.05
Forward assets purchase,ifrs-full_PurchaseOfMiningAssets,Purchase of mining assets,70.83
Cash and balances with banks,ifrs-full_BalancesWithBanks,Balances with banks,80.85
Property and equipment,ifrs-full_PropertyPlantAndEquipment,"Property, plant and equipment",86.27
Financial investments at fair value through other comprehensive income,ifrs-full_FinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,Financial assets measured at fair value through other comprehensive income,86.11
"Loans, advances and financing",ifrs-full_LoansAndAdvances,Loans and advances,76.6
Intangible assets,ifrs-full_OtherIntangibleAssets,Other intangible assets,85.0
Financing and advances,ifrs-full_LoansAndAdvances,Loans and advances,75.0
Financial investments at fair value through other comprehensive income (exclude equity securities),ifrs-full_InterestRevenueForFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,Interest revenue for financial assets measured at fair value through other comprehensive income,75.65
Total maximum exposure,ifrs-full_MaximumExposureToCreditRisk,Maximum exposure to credit risk,71.7
Total Derivative financial instruments,ifrs-full_TradingIncomeExpenseOnDerivativeFinancialInstruments,Trading income (expense) on derivative financial instruments,73.47
Financial investments at fair value through profit or loss,ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss,Financial liabilities at fair value through profit or loss,87.93
Remaining performance obligations (more than 3 years),ifrs-full_TransactionPriceAllocatedToRemainingPerformanceObligations,Transaction price allocated to remaining performance obligations,70.09
Collective investments,ifrs-full_CurrentInvestments,Current investments,73.17
Provision for tax expense,ifrs-full_ProfessionalFeesExpense,Professional fees expense,72.0
Deposits from customers (Total),ifrs-full_DepositsFromCustomers,Deposits from customers,85.19
Other deposits,ifrs-full_LongtermDeposits,Long-term deposits,81.25
Remaining performance obligations (1 year to 3 years),ifrs-full_TransactionPriceAllocatedToRemainingPerformanceObligations,Transaction price allocated to remaining performance obligations,70.09
Statutory deposits with Central Banks,ifrs-full_MandatoryReserveDepositsAtCentralBanks,Mandatory reserve deposits at central banks,72.5
Investment properties,ifrs-full_InvestmentProperty,Investment property,90.0
Financial assets at fair value through profit or loss (exclude equity securities),ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss,Financial assets at fair value through profit or loss,79.1
Financial investments at amortised cost,ifrs-full_FinancialLiabilitiesAtAmortisedCost,Financial liabilities at amortised cost,82.05
Forward assets purchase,ifrs-full_PurchaseOfMiningAssets,Purchase of mining assets,70.83
Cash and balances with banks,ifrs-full_BalancesWithBanks,Balances with banks,80.85
Property and equipment,ifrs-full_PropertyPlantAndEquipment,"Property, plant and equipment",86.27
Financing and advances,ifrs-full_LoansAndAdvances,Loans and advances,75.0
Financial investments at fair value through other comprehensive income (exclude equity securities),ifrs-full_InterestRevenueForFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,Interest revenue for financial assets measured at fair value through other comprehensive income,75.65
Total maximum exposure,ifrs-full_MaximumExposureToCreditRisk,Maximum exposure to credit risk,71.7
Total Derivative financial instruments,ifrs-full_TradingIncomeExpenseOnDerivativeFinancialInstruments,Trading income (expense) on derivative financial instruments,73.47
Financial investments at fair value through profit or loss,ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss,Financial liabilities at fair value through profit or loss,87.93
Remaining performance obligations (more than 3 years),ifrs-full_TransactionPriceAllocatedToRemainingPerformanceObligations,Transaction price allocated to remaining performance obligations,70.09
Collective investments,ifrs-full_CurrentInvestments,Current investments,73.17
Provision for tax expense,ifrs-full_ProfessionalFeesExpense,Professional fees expense,72.0
Deposits from customers (Total),ifrs-full_DepositsFromCustomers,Deposits from customers,85.19
Other deposits,ifrs-full_LongtermDeposits,Long-term deposits,81.25
Financial investments at fair value through other comprehensive income,ifrs-full_FinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,Financial assets measured at fair value through other comprehensive income,86.11
"Loans, advances and financing",ifrs-full_LoansAndAdvances,Loans and advances,76.6
Intangible assets,ifrs-full_OtherIntangibleAssets,Other intangible assets,85.0
